query_id,model,provider,condition,run,latency_ms
Q6,mistral-devstral-2512,openrouter,with_rerank,2,80.29
Q6,mistral-devstral-2512,openrouter,with_rerank,3,78.32
Q7,mistral-devstral-2512,openrouter,with_rerank,1,91.78
Q7,mistral-devstral-2512,openrouter,with_rerank,2,76.73
Q7,mistral-devstral-2512,openrouter,with_rerank,3,78.49
Q8,mistral-devstral-2512,openrouter,with_rerank,1,95.13
Q8,mistral-devstral-2512,openrouter,with_rerank,2,70.85
Q8,mistral-devstral-2512,openrouter,with_rerank,3,70.64
Q9,mistral-devstral-2512,openrouter,with_rerank,1,57.38
Q9,mistral-devstral-2512,openrouter,with_rerank,2,37.45
Q9,mistral-devstral-2512,openrouter,with_rerank,3,36.93
Q10,mistral-devstral-2512,openrouter,with_rerank,1,56.07
Q10,mistral-devstral-2512,openrouter,with_rerank,2,38.86
Q10,mistral-devstral-2512,openrouter,with_rerank,3,38.34
Q11,mistral-devstral-2512,openrouter,with_rerank,1,80.53
Q11,mistral-devstral-2512,openrouter,with_rerank,2,64.81
Q11,mistral-devstral-2512,openrouter,with_rerank,3,65.64
Q12,mistral-devstral-2512,openrouter,with_rerank,1,64.66
Q12,mistral-devstral-2512,openrouter,with_rerank,2,46.23
Q12,mistral-devstral-2512,openrouter,with_rerank,3,46.36
Q13,mistral-devstral-2512,openrouter,with_rerank,1,65.08
Q13,mistral-devstral-2512,openrouter,with_rerank,2,43.78
Q13,mistral-devstral-2512,openrouter,with_rerank,3,43.58
Q14,mistral-devstral-2512,openrouter,with_rerank,1,88.58
Q14,mistral-devstral-2512,openrouter,with_rerank,2,67.8
Q14,mistral-devstral-2512,openrouter,with_rerank,3,68.14
Q15,mistral-devstral-2512,openrouter,with_rerank,1,87.8
Q15,mistral-devstral-2512,openrouter,with_rerank,2,71.61
Q15,mistral-devstral-2512,openrouter,with_rerank,3,73.49
Q16,mistral-devstral-2512,openrouter,with_rerank,1,57.82
Q16,mistral-devstral-2512,openrouter,with_rerank,2,39.97
Q16,mistral-devstral-2512,openrouter,with_rerank,3,40.27
Q17,mistral-devstral-2512,openrouter,with_rerank,1,55.88
Q17,mistral-devstral-2512,openrouter,with_rerank,2,39.27
Q17,mistral-devstral-2512,openrouter,with_rerank,3,39.27
Q18,mistral-devstral-2512,openrouter,with_rerank,1,60.83
Q18,mistral-devstral-2512,openrouter,with_rerank,2,42.2
Q18,mistral-devstral-2512,openrouter,with_rerank,3,44.53
Q19,mistral-devstral-2512,openrouter,with_rerank,1,214.95
Q19,mistral-devstral-2512,openrouter,with_rerank,2,199.55
Q19,mistral-devstral-2512,openrouter,with_rerank,3,138.53
